ncbi_id	name
10116	Rattus
10095	Mus
10090	Mus
12721	None
9606	Homo_sapiens
9615	Canis
9913	Chordata
4932	None
562	None
9986	Chordata
11676	None
11096	None
9940	Chordata
9823	Chordata
9685	Felidae
4097	None
9031	Chordata
10407	None
12305	None
4565	None
1280	None
4530	None
10141	Chordata
210	None
9796	Chordata
10535	None
10376	None
10566	None
381124	None
3847	None
287	None
7955	Chordata
10633	None
29546	None
10298	None
11886	None
83971	Chordata
10029	Cricetinae
11103	None
9925	Chordata
103820	Chordata
3704	None
5476	None
4081	None
94188	Chordata
1773	None
9103	Chordata
1423	None
11309	None
7227	None
4513	None
37162	None
3635	None
5833	None
3702	None
4113	None
1639	None
10359	None
1313	None
31931	None
11723	None
13443	None
38018	None
4853	None
138950	None
8355	Chordata
6239	None
10469	None
9544	Simiiformes
5693	None
727	None
10335	None
10245	None
3483	None
3888	None
5811	None
8022	Chordata
42554	Chordata
12461	None
39059	None
3818	None
31658	None
3750	None
41568	None
573	None
302767	Chordata
12215	None
3879	None
9598	Simiiformes
11709	None
197	None
3562	None
10796	None
666	None
7957	Chordata
11082	None
813	None
4682	None
139	None
837	None
12143	None
6183	None
10368	None
7962	Chordata
1309	None
11099	None
11673	None
11276	None
11757	None
46221	None
1496	None
4498	None
10345	None
12092	None
1392	None
11176	None
12475	None
8839	Chordata
1765	None
11234	None
1769	None
7460	None
4896	None
5807	None
446	None
83558	None
1282	None
11320	None
4754	None
485	None
452646	Chordata
28901	None
28344	None
4550	None
12814	None
10891	None
11786	None
405018	None
12110	None
4558	None
4054	None
5207	None
6536	None
746128	None
12242	None
11901	None
4577	None
12637	None
10366	None
1351	None
487	None
11623	None
9669	Mustela_putorius
5855	None
11292	None
71179	Chordata
3659	None
1764	None
1314	None
9319	Chordata
54290	None
5759	None
10255	None
303	None
7159	None
1428	None
630	None
12440	None
5061	None
10571	None
615	None
9860	Chordata
5141	None
9541	Simiiformes
1396	None
1502	None
4679	None
520	None
11191	None
44689	None
5664	None
817	None
5691	None
3885	None
68887	None
162683	None
2104	None
9568	Simiiformes
10995	None
10629	None
8090	Chordata
40051	None
4039	None
10537	None
4922	None
714	None
4456	None
584	None
11232	None
10271	None
358	None
7091	None
632	None
159033	None
12455	None
341683	None
12066	None
8030	Chordata
8400	Chordata
10036	Cricetinae
306	None
162425	None
4641	None
1352	None
3832	None
294	None
29176	None
4222	None
272636	None
3055	None
10632	None
10243	None
93934	Chordata
8164	Chordata
3983	None
747	None
11072	None
10390	None
5661	None
10326	None
4182	None
3641	None
11587	None
235	None
470	None
38020	Chordata
29397	None
550	None
1358	None
4547	None
36470	None
11809	None
11034	None
6693	None
5478	None
3747	None
6402	None
670	None
10798	None
10710	None
5741	None
7130	None
317	None
5722	None
6334	None
5821	None
777	None
9838	Chordata
3726	None
10244	None
11768	None
5482	None
1422	None
1772	None
23211	None
3311	None
623	None
119431	None
70862	Chordata
9172	Chordata
7165	None
1491	None
37656	None
263	None
5059	None
100235	None
11041	None
28314	None
307630	None
1747	None
143334	Chordata
11048	None
6185	None
160	None
1063	None
94328	None
11864	None
3988	None
644	None
195	None
6182	None
274	None
672	None
11665	None
11029	None
2708	None
9783	Chordata
11866	None
6192	None
4442	None
3555	None
12639	None
9870	Chordata
1590	None
7108	None
5480	None
9593	Simiiformes
12181	None
11988	None
3760	None
3917	None
161934	None
12302	None
1582	None
7740	Chordata
8233	Chordata
8847	Chordata
7998	Chordata
1409	None
10804	None
6210	None
5037	None
6289	None
9654	Chordata
28450	None
10325	None
323764	Chordata
6253	None
1305	None
3708	None
1902	None
4006	None
10310	None
1718	None
3864	None
7160	None
11246	None
11313	None
633	None
9874	Chordata
1311	None
480	None
6252	None
8168	Chordata
11978	None
5507	None
10047	Chordata
35525	None
715	None
38323	None
33758	None
4230	None
10372	None
11161	None
1319	None
1307	None
8404	Chordata
6574	None
43767	None
3755	None
136217	None
34613	None
1404	None
2130	None
3906	None
7176	None
10152	Chordata
10641	None
12104	None
121759	None
8895	Chordata
6282	None
2098	None
4100	None
2096	None
4909	None
12216	None
12183	None
6956	None
354	None
128608	None
948	None
1402	None
1770	None
851	None
7240	None
10760	None
11657	None
572729	None
35269	None
5671	None
5802	None
518	None
1270	None
55883	None
8296	Chordata
75985	None
5062	None
205488	None
124943	None
1579	None
37296	None
1768	None
35246	None
301928	None
770	None
10497	None
4120	None
3902	None
3827	None
1916	None
130404	None
4606	None
292	None
3649	None
6265	None
6211	None
9534	Simiiformes
11047	None
8801	Chordata
546	None
9694	Felidae
5692	None
1767	None
83554	None
9135	Chordata
6184	None
382	None
9755	Chordata
585	None
1061	None
42374	None
6279	None
29459	None
6523	None
9793	Chordata
5911	None
6248	None
10471	None
730	None
40559	None
5908	None
64457	None
2287	None
51453	None
173	None
6293	None
138334	None
5861	None
9844	Chordata
8407	Chordata
235354	None
11660	None
111938	None
11263	None
158	None
1766	None
1085	None
6204	None
999462	Chordata
8790	Chordata
3567	None
52904	Chordata
7175	None
3039	None
9689	Felidae
6550	None
5551	None
5306	None
624	None
1148	None
11819	None
9825	Chordata
157914	None
6287	None
28985	None
523103	None
7370	None
29780	None
5791	None
34	None
11084	None
9555	Simiiformes
4043	None
8032	Chordata
375	None
9322	Chordata
668	None
5697	None
471	None
384	None
266	None
442169	Chordata
6500	None
1911	None
34256	None
11287	None
6453	None
9600	Simiiformes
37108	None
9581	Simiiformes
945	None
3435	None
59729	Chordata
8401	Chordata
622	None
40324	None
262676	None
29760	None
5875	None
9995	Chordata
57577	None
39367	None
3880	None
11520	None
260674	None
1310	None
57788	Chordata
11960	None
7769	Chordata
2099	None
9483	Simiiformes
11970	None
45617	None
6526	None
77643	None
28131	None
176652	None
1308	None
2261	None
6978	None
11002	None
27835	None
6945	None
56765	None
1302	None
11636	None
2336	None
548	None
9915	Chordata
944	None
2097	None
1642	None
7668	None
155892	None
8386	Chordata
29519	None
36087	None
74940	Chordata
5076	None
61674	Chordata
11207	None
669	None
7719	Chordata
9696	Felidae
8063	Chordata
571	None
7787	Chordata
7154	None
339	None
1781	None
289672	None
5665	None
5501	None
169066	None
30069	None
475271	None
59837	Chordata
11603	None
12420	None
3369	None
29518	None
8019	Chordata
1131	None
39352	None
3329	None
1421	None
11741	None
5699	None
9614	Canis
63405	None
1335	None
6954	None
4615	None
15957	None
11746	None
8049	Chordata
5518	None
9491	Simiiformes
29158	None
1809	None
